entity_id,name,role,department,person_id,room_id,timestamp,hour,day,weekday,next_room
E104043,Siddharth Gupta,student,Admin,S10011,LIB_1,2025-08-29 11:37:00,11,29,4,LAB_101
E104043,Siddharth Gupta,student,Admin,S10011,LAB_101,2025-09-10 23:31:00,23,10,2,LAB_101
E104120,Rohan Mehta,student,EEE,S10017,LIB_3,2025-09-02 02:00:16,2,2,1,ADMIN_1
E104120,Rohan Mehta,student,EEE,S10017,ADMIN_1,2025-09-13 07:18:00,7,13,5,HOSTEL_4
E103914,Divya Mehta,student,Physics,S10032,ENG,2025-09-04 07:57:00,7,4,3,HOSTEL_2
E103914,Divya Mehta,student,Physics,S10032,HOSTEL_2,2025-09-08 16:56:52,16,8,0,ENG
E103914,Divya Mehta,student,Physics,S10032,ENG,2025-09-19 04:12:00,4,19,4,CAF
E103914,Divya Mehta,student,Physics,S10032,CAF,2025-09-21 02:49:00,2,21,6,GYM
E103914,Divya Mehta,student,Physics,S10032,GYM,2025-09-23 21:33:05,21,23,1,AUD_3
E103104,Karan Iyer,student,MECH,S10044,LAB_101,2025-08-27 09:39:00,9,27,2,LAB_101
E103104,Karan Iyer,student,MECH,S10044,LAB_101,2025-08-27 11:17:00,11,27,2,ROOM_A1
E103104,Karan Iyer,student,MECH,S10044,ROOM_A1,2025-09-02 10:50:00,10,2,1,ROOM_A1
E103104,Karan Iyer,student,MECH,S10044,ROOM_A1,2025-09-02 12:41:00,12,2,1,LIB_1
E103104,Karan Iyer,student,MECH,S10044,LIB_1,2025-09-15 12:58:23,12,15,0,ROOM_A1
E103104,Karan Iyer,student,MECH,S10044,ROOM_A1,2025-09-19 14:25:00,14,19,4,ROOM_A1
E102287,Divya Patel,student,EEE,S10046,LIB_3,2025-09-08 07:09:35,7,8,0,LIB_4
E102287,Divya Patel,student,EEE,S10046,LIB_4,2025-09-11 02:14:52,2,11,3,ROOM_A1
E102287,Divya Patel,student,EEE,S10046,ROOM_A1,2025-09-14 05:29:00,5,14,6,ROOM_A1
E100075,Sana Malhotra,student,Maths,S10053,LIB_3,2025-08-28 21:06:00,21,28,3,LAB_102
E100075,Sana Malhotra,student,Maths,S10053,LAB_102,2025-09-02 00:26:00,0,2,1,LAB_102
E100075,Sana Malhotra,student,Maths,S10053,LAB_102,2025-09-02 02:56:00,2,2,1,AUD_4
E100075,Sana Malhotra,student,Maths,S10053,AUD_4,2025-09-02 21:38:00,21,2,1,AUD_1
E100075,Sana Malhotra,student,Maths,S10053,AUD_1,2025-09-02 22:16:00,22,2,1,HOSTEL_1
E100075,Sana Malhotra,student,Maths,S10053,HOSTEL_1,2025-09-03 12:51:12,12,3,2,LIB_4
E100075,Sana Malhotra,student,Maths,S10053,LIB_4,2025-09-04 18:58:58,18,4,3,GYM
